,url,header,sub,searchedWordsNum,searchedWords
0,https://en.wikipedia.org/wiki/Good_Times_(Tommy_Lee_song),Good Times (Tommy Lee song),"From Wikipedia, the free encyclopedia",19,"['From Wikipedia, the free encyclopedia', 'from the album ', 'Tommyland: The Ride', '. It is the second single released from his second solo album ', 'Tommyland: The Ride', '. The song is also the theme song for the reality TV series ', '""Good Times"" reached number ninety-five on the ', 'Tommyland: The Ride', 'Shout at the Devil', 'Dr. Feelgood The Videos', 'Behind the Music', 'Shout at the Devil', ""Smokin' in the Boys Room"", 'Anarchy in the U.K.', 'Treat Me Like the Dog I Am', 'The Heroin Diaries: A Year in the Life of a Shattered Rock Star', 'Text is available under the ', ';\nadditional terms may apply.  By using this site, you agree to the ', '. Wikipedia® is a registered trademark of the ']"
1,https://en.wikipedia.org/wiki/Deaths_in_January_1999,Deaths in January 1999,"From Wikipedia, the free encyclopedia",38,"['From Wikipedia, the free encyclopedia', ' by surname. A typical entry lists information in the following sequence:\n', ', 89, English bishop in the Church of England.', ', 76, American bishop in the Episcopal Church.', ', 80, American hangman during the ', ', 78, American General in the ', ', 81, American historian and intelligence official in the ', ', 77, Australian judge on the ', ', 63, American bishop in the Roman Catholic Church.', ' in the ', 'Leader of the Opposition of New South Wales', ', 87, American Vice Admiral in the United States Navy during World War II, complications following a stroke.', ' in the ', ', 73, Scottish trade unionist and political activist, Chairman of the ', ', 75, American politician, Member of the ', 'Parliament of The State of Queensland', '""Fanfare of the opera""', '""Obituary: The Right Rev Frank West""', '""Jerry Quarry, 53, Boxer Battered by Years in the Ring, Dies""', '""Jose Vela Zanetti Dies at 85; Painter of Mural at the U.N.""', '""Michael Hirschfeld Gallery Honours Staunch Friend of the Arts""', 'Official Congressional Record Impeachment Set: Congressional Record, During the Period January 6, 1999 to February 12, 1999, Proceedings and Debates of the 106th Congress, First Session', '""Parliamentarian File: Harris, The Hon. Walter Edward, P.C., Q.C., D.C.L.""', '""C. K. Yang: Sociology in China and the Encounter of Civilizations""', '""Honouring a legend of the Chaliyar""', '""Jack McCafferty - king of the road""', '""Doug Wickenheiser, Former Player for the Blues, Dies from Cancer""', 'Obituaries in the Performing Arts, 1999: Film, Television, Radio, Theatre, Dance, Music, Cartoons and Pop Culture', 'The Biographical Dictionary of the Australian Senate', '""Frances Godowsky Dies at 92; Last of the Gershwin Siblings""', '""Right at the heart of Labour""', '""Cecil Smith, Considered the Best Polo Player Ever, Dies at 94""', '""UC Berkeley mathematician Maxwell A. Rosenlicht has died at the age of 74""', '""Obituary: Admiral of the Fleet Lord Lewin""', 'And the conductor is..', 'Text is available under the ', ';\nadditional terms may apply.  By using this site, you agree to the ', '. Wikipedia® is a registered trademark of the ']"
2,https://en.wikipedia.org/wiki/Aulacosphinctes,Aulacosphinctes,"From Wikipedia, the free encyclopedia",8,"['From Wikipedia, the free encyclopedia', ' cephalopod that lived during the Late ', 'The shell is compressed, covered by strong, distinct, widely bifurcating ribs, some simple, none with tubercles; the venter marked by a deep and persistent groove; lappets rather long. Based on the style of ribbing ', ' is included in the Himalayitinae, but could be placed in  the Beriasellinae. ', ' has been found in the Upper Jurassic (Tithonian) sediments in Algeria, east Africa, India, South America, and possibly California.\n', 'Text is available under the ', ';\nadditional terms may apply.  By using this site, you agree to the ', '. Wikipedia® is a registered trademark of the ']"
3,https://en.wikipedia.org/wiki/Dronfield_Town_L.F.C.,Dronfield Town L.F.C.,"From Wikipedia, the free encyclopedia",11,"['From Wikipedia, the free encyclopedia', '. The club currently play in the .\n', '""Results Archive - the Vitality Women\'s FA Cup - Competitions | the Football Association""', 'PFA Team of the Year', ""PFA Women's Players' Player of the Year"", ""PFA Women's Young Player of the Year"", ""FWA Women's Footballer of the Year"", ""BBC Women's Footballer of the Year"", 'Text is available under the ', ';\nadditional terms may apply.  By using this site, you agree to the ', '. Wikipedia® is a registered trademark of the ']"
4,https://en.wikipedia.org/wiki/Charles_Curran_(television_executive),Charles Curran (television executive),"From Wikipedia, the free encyclopedia",40,"['document.documentElement.className=""client-js"";RLCONF={""wgBreakFrames"":false,""wgSeparatorTransformTable"":["""",""""],""wgDigitTransformTable"":["""",""""],""wgDefaultDateFormat"":""dmy"",""wgMonthNames"":["""",""January"",""February"",""March"",""April"",""May"",""June"",""July"",""August"",""September"",""October"",""November"",""December""],""wgRequestId"":""06ab7288-f0f3-4f1e-bbc1-dcb677d66f2e"",""wgCSPNonce"":false,""wgCanonicalNamespace"":"""",""wgCanonicalSpecialPageName"":false,""wgNamespaceNumber"":0,""wgPageName"":""Charles_Curran_(television_executive)"",""wgTitle"":""Charles Curran (television executive)"",""wgCurRevisionId"":1047179495,""wgRevisionId"":1047179495,""wgArticleId"":564104,""wgIsArticle"":true,""wgIsRedirect"":false,""wgAction"":""view"",""wgUserName"":null,""wgUserGroups"":[""*""],""wgCategories"":[""Webarchive template wayback links"",""Use dmy dates from August 2020"",""Use British English from April 2012"",""Articles needing additional references from September 2014"",""All articles needing additional references"",""Articles with ISNI identifiers"",\n""Articles with VIAF identifiers"",""Articles with WORLDCATID identifiers"",""Articles with BIBSYS identifiers"",""Articles with BNE identifiers"",""Articles with GND identifiers"",""Articles with LCCN identifiers"",""Articles with NTA identifiers"",""Articles with SNAC-ID identifiers"",""1921 births"",""1980 deaths"",""English male journalists"",""English television executives"",""BBC executives"",""Alumni of Magdalene College, Cambridge"",""People educated at Wath Academy"",""Knights Bachelor"",""International Emmy Directorate Award"",""English people of Scottish descent"",""Indian Army personnel of World War II"",""British Indian Army officers"",""European Broadcasting Union"",""20th-century English businesspeople"",""Irish emigrants to the United Kingdom""],""wgPageContentLanguage"":""en"",""wgPageContentModel"":""wikitext"",""wgRelevantPageName"":""Charles_Curran_(television_executive)"",""wgRelevantArticleId"":564104,""wgIsProbablyEditable"":true,""wgRelevantPageIsProbablyEditable"":true,""wgRestrictionEdit"":[],""wgRestrictionMove"":[],\n""wgFlaggedRevsParams"":{""tags"":{""status"":{""levels"":-1}}},""wgVisualEditor"":{""pageLanguageCode"":""en"",""pageLanguageDir"":""ltr"",""pageVariantFallbacks"":""en""},""wgMFDisplayWikibaseDescriptions"":{""search"":true,""nearby"":true,""watchlist"":true,""tagline"":false},""wgWMESchemaEditAttemptStepOversample"":false,""wgWMEPageLength"":7000,""wgNoticeProject"":""wikipedia"",""wgMediaViewerOnClick"":true,""wgMediaViewerEnabledByDefault"":true,""wgPopupsFlags"":10,""wgULSCurrentAutonym"":""English"",""wgEditSubmitButtonLabelPublish"":true,""wgCentralAuthMobileDomain"":false,""wgULSPosition"":""interlanguage"",""wgULSisCompactLinksEnabled"":true,""wgWikibaseItemId"":""Q5076597"",""wgGENewcomerTasksGuidanceEnabled"":true,""wgGEAskQuestionEnabled"":false,""wgGELinkRecommendationsFrontendEnabled"":false};RLSTATE={""ext.globalCssJs.user.styles"":""ready"",""site.styles"":""ready"",""user.styles"":""ready"",""ext.globalCssJs.user"":""ready"",""user"":""ready"",""user.options"":""loading"",""ext.cite.styles"":""ready"",""skins.vector.styles.legacy"":""ready"",\n""jquery.makeCollapsible.styles"":""ready"",""ext.visualEditor.desktopArticleTarget.noscript"":""ready"",""ext.wikimediaBadges"":""ready"",""ext.uls.interlanguage"":""ready"",""wikibase.client.init"":""ready""};RLPAGEMODULES=[""ext.cite.ux-enhancements"",""site"",""mediawiki.page.ready"",""jquery.makeCollapsible"",""mediawiki.toc"",""skins.vector.legacy.js"",""ext.gadget.ReferenceTooltips"",""ext.gadget.charinsert"",""ext.gadget.extra-toolbar-buttons"",""ext.gadget.refToolbar"",""ext.gadget.switcher"",""mmv.head"",""mmv.bootstrap.autostart"",""ext.visualEditor.desktopArticleTarget.init"",""ext.visualEditor.targetLoader"",""ext.eventLogging"",""ext.wikimediaEvents"",""ext.navigationTiming"",""ext.cx.eventlogging.campaigns"",""ext.centralNotice.geoIP"",""ext.centralNotice.startUp"",""ext.centralauth.centralautologin"",""ext.popups"",""ext.uls.compactlinks"",""ext.uls.interface"",""ext.growthExperiments.SuggestedEditSession""];', 'From Wikipedia, the free encyclopedia', 'For other people with the same name, see ', 'Director-General of the BBC', 'Director-General of the BBC', ' Three weeks after his birth, the family moved to Aberdeen, then his family moved to ', ' He was the eldest child in a family of four siblings.', 'He served in the ', ' from 1942 to 1945, but left to work in the ', ' Talks department. He resigned following a dispute to edit the ', ' of the ', ' of the ', 'Director-General of the BBC', ' from 1 April 1969 to 30 September 1977. He was the first ', 'Following the appointment of the former Conservative minister ', ' as Chairman of the BBC Governors in 1967 (ironically, the ', "", had attacked Hill's appointment as chairman of the "", "" under a Conservative government in 1963), Curran's arrival marked a return to a more cautious approach after the radicalism of "", 'Curran also suffered criticism from Harold Wilson, at that time the Leader of the Opposition, who claimed that the documentary ', ' (1971) was biased against himself and the ', ' an assertion the BBC now accepts.', ' A parallel documentary at the time on the Heath government passed without incident.\n', '. Curran issued an apology to Whitehouse after she complained about the violence at the end of part three of ', ', was ordered to lighten the tone and reduce the violence and horror content.', 'It was under Curran that the BBC produced some of its best-loved and most consistently repeated comedy series, such as ', ' and the first series of ', ', but the ', ' still won many of their battles with BBC officialdom. The ', "" series continued to take risks throughout Curran's eight years as Director-General. The "", ' became one of the best-loved British TV institutions ever between 1969 and 1977, and the Curran era also saw the development of ', ' 22 February 2014 at the ', ' 23 October 2014 at the ', ', History of the BBC', 'Doctor Who: The Seventies', 'Supplement to the London Gazette of Friday, 28 December 1973, No. 46162, Tuesday, 1 January 1974, p. 1', 'Director-General of the BBC', 'Irish emigrants to the United Kingdom', 'Text is available under the ', ';\nadditional terms may apply.  By using this site, you agree to the ', '. Wikipedia® is a registered trademark of the ']"
5,https://en.wikipedia.org/wiki/Adarnase_III_of_Tao,Adarnase III of Tao,"From Wikipedia, the free encyclopedia",14,"['From Wikipedia, the free encyclopedia', ' prince of the ', ' with the title of ', ', with the second component of the word (', ') being the Georgian attestation of the Middle Persian name ', ' The Middle Persian name ', ' The name ', ' appears in the ', 'Adarnase was the oldest son of ', 'David, the oldest son of Adarnase, also had the title of ', 'The Sasanian World through Georgian Eyes: Caucasia and the Iranian Commonwealth in Late Antique Georgian Literature', 'Text is available under the ', ';\nadditional terms may apply.  By using this site, you agree to the ', '. Wikipedia® is a registered trademark of the ']"
6,https://en.wikipedia.org/wiki/Worsley_Old_Hall,Worsley Old Hall,"From Wikipedia, the free encyclopedia",28,"['document.documentElement.className=""client-js"";RLCONF={""wgBreakFrames"":false,""wgSeparatorTransformTable"":["""",""""],""wgDigitTransformTable"":["""",""""],""wgDefaultDateFormat"":""dmy"",""wgMonthNames"":["""",""January"",""February"",""March"",""April"",""May"",""June"",""July"",""August"",""September"",""October"",""November"",""December""],""wgRequestId"":""34f47441-5b9a-4b91-af93-8eb5d4a75e16"",""wgCSPNonce"":false,""wgCanonicalNamespace"":"""",""wgCanonicalSpecialPageName"":false,""wgNamespaceNumber"":0,""wgPageName"":""Worsley_Old_Hall"",""wgTitle"":""Worsley Old Hall"",""wgCurRevisionId"":1004023365,""wgRevisionId"":1004023365,""wgArticleId"":19219481,""wgIsArticle"":true,""wgIsRedirect"":false,""wgAction"":""view"",""wgUserName"":null,""wgUserGroups"":[""*""],""wgCategories"":[""Coordinates on Wikidata"",""Articles with OS grid coordinates"",""Commons category link is on Wikidata"",""Grade II listed pubs in Greater Manchester"",""Tourist attractions in Salford"",""Grade II listed buildings in the City of Salford""],""wgPageContentLanguage"":""en"",""wgPageContentModel"":\n""wikitext"",""wgRelevantPageName"":""Worsley_Old_Hall"",""wgRelevantArticleId"":19219481,""wgIsProbablyEditable"":true,""wgRelevantPageIsProbablyEditable"":true,""wgRestrictionEdit"":[],""wgRestrictionMove"":[],""wgFlaggedRevsParams"":{""tags"":{""status"":{""levels"":-1}}},""wgVisualEditor"":{""pageLanguageCode"":""en"",""pageLanguageDir"":""ltr"",""pageVariantFallbacks"":""en""},""wgMFDisplayWikibaseDescriptions"":{""search"":true,""nearby"":true,""watchlist"":true,""tagline"":false},""wgWMESchemaEditAttemptStepOversample"":false,""wgWMEPageLength"":5000,""wgNoticeProject"":""wikipedia"",""wgMediaViewerOnClick"":true,""wgMediaViewerEnabledByDefault"":true,""wgPopupsFlags"":10,""wgULSCurrentAutonym"":""English"",""wgCoordinates"":{""lat"":53.5054,""lon"":-2.391},""wgEditSubmitButtonLabelPublish"":true,""wgCentralAuthMobileDomain"":false,""wgULSPosition"":""interlanguage"",""wgULSisCompactLinksEnabled"":true,""wgWikibaseItemId"":""Q8037109"",""wgGENewcomerTasksGuidanceEnabled"":true,""wgGEAskQuestionEnabled"":false,""wgGELinkRecommendationsFrontendEnabled"":false};RLSTATE={\n""ext.globalCssJs.user.styles"":""ready"",""site.styles"":""ready"",""user.styles"":""ready"",""ext.globalCssJs.user"":""ready"",""user"":""ready"",""user.options"":""loading"",""ext.cite.styles"":""ready"",""skins.vector.styles.legacy"":""ready"",""jquery.makeCollapsible.styles"":""ready"",""ext.visualEditor.desktopArticleTarget.noscript"":""ready"",""ext.wikimediaBadges"":""ready"",""ext.uls.interlanguage"":""ready"",""wikibase.client.init"":""ready""};RLPAGEMODULES=[""ext.cite.ux-enhancements"",""site"",""mediawiki.page.ready"",""jquery.makeCollapsible"",""mediawiki.toc"",""skins.vector.legacy.js"",""ext.gadget.ReferenceTooltips"",""ext.gadget.charinsert"",""ext.gadget.extra-toolbar-buttons"",""ext.gadget.refToolbar"",""ext.gadget.switcher"",""mmv.head"",""mmv.bootstrap.autostart"",""ext.visualEditor.desktopArticleTarget.init"",""ext.visualEditor.targetLoader"",""ext.eventLogging"",""ext.wikimediaEvents"",""ext.navigationTiming"",""ext.cx.eventlogging.campaigns"",""ext.centralNotice.geoIP"",""ext.centralNotice.startUp"",""ext.centralauth.centralautologin"",""ext.popups"",\n""ext.uls.compactlinks"",""ext.uls.interface"",""ext.growthExperiments.SuggestedEditSession""];', 'From Wikipedia, the free encyclopedia', ', England. It is recorded in the ', 'The present building on the site dates from the 16th or early 17th\xa0century. It was originally a ', ' building which has been rebuilt in brick. It is thought that it originally consisted of a hall range on the south side, with wings extending to the north on the east and west sides. The house was remodelled in the 18th century with the addition of a range immediately to the north of the hall range. It was substantially extended in or around 1855 when an extension was added to the east wing. Further work was carried out in 1891; in 1905 the space between the wings was filled in with a ', ' In 1906 a small wing was added on the northwest side. During the 20th\xa0century there were further internal alterations, particularly in the 1990s when it was converted into a restaurant.', '  The hall is of particular historical importance because it was here that ', 'Francis Egerton, the 3rd\xa0Duke of Bridgewater', ' planned the ', 'The building is in brick, most of which is rendered. The roofs are of stone and slate. Some of the 19th-century extensions are timber-framed.', 'As of 2011 the building was a public house and restaurant in the ', ' chain. In August 2013 the building was sold has and been refurbished and re-opened in December 2013 as a food-led real ale pub operated by Brunning and Price.', 'Lancashire: Manchester and the South-East', ', The Buildings of England, New Haven and London: ', 'Photograph of the hall in 1889', 'Buildings and structures in the ', 'Irwell Tower, The Residence (110m)', 'Local Crescent, The Crescent Tower 1 (68m)', 'Imperial Point At The Lowry (65m)', 'X1 The Gateway (62m)', 'Local Crescent, The Crescent Tower 2 (53m)', 'Greek Orthodox Church of the Annunciation', 'St Mary the Virgin, Eccles', 'St Mary the Virgin, Ellenbrook', 'Grade II listed buildings in the City of Salford', 'Text is available under the ', ';\nadditional terms may apply.  By using this site, you agree to the ', '. Wikipedia® is a registered trademark of the ']"
7,https://en.wikipedia.org/wiki/Shop_CJ,Shop CJ,"From Wikipedia, the free encyclopedia",12,"['From Wikipedia, the free encyclopedia', '). The channel was formed in March 2009', ' sold its stake in the company to ', ' firm and the company was rebranded in early 2015.', 'Apart from Shop CJ, the company also operates a web-portal, ', 'Providence Equity Partners operates the media properties of Shop CJ Network through P5 Asia Holding Investments (Mauritius) Limited, which is owned by Providence.', ' The company had an arrangement to continue using the STAR branding (name and logo) for one year after the conclusion of the sale.', ' It has since dropped the ', 'STAR India continued to maintain its stake holding in the web-portal till May 2015.\n', 'Text is available under the ', ';\nadditional terms may apply.  By using this site, you agree to the ', '. Wikipedia® is a registered trademark of the ']"
8,https://en.wikipedia.org/wiki/Mochokus_brevis,Mochokus brevis,"From Wikipedia, the free encyclopedia",5,"['From Wikipedia, the free encyclopedia', ' native to the ', 'Text is available under the ', ';\nadditional terms may apply.  By using this site, you agree to the ', '. Wikipedia® is a registered trademark of the ']"
9,https://en.wikipedia.org/wiki/Household_Cavalry,Household Cavalry,"From Wikipedia, the free encyclopedia",87,"['From Wikipedia, the free encyclopedia', ' of the Household Cavalry', 'HM The Queen', 'Colonels of the regiments', ') is made up of the two most senior regiments of the ', ', the ', ' and the ', '. These regiments are divided between the ', ' in Wiltshire and the ceremonial mounted unit, the ', '. The Household Cavalry is part of the ', "" and is the Queen's official bodyguard.  Although the Household Cavalry Regiment is armoured, it is not part of the "", ': the ', ' and the ', "". They are the senior regular regiments in the British Army, with traditions dating from 1660, and act as the Queen's personal bodyguard. They are guards regiments and, with the five "", ' regiments, help constitute the seven guards regiments of the ', 'Below is the structure of the regiment:', 'Trooper of the Blues and Royals', 'Life Guards of the Household Cavalry ', 'mounting the guard', ' provides security at a temporary Vehicle Check Point (VCP) during Op HERRICK 13. The HCR has deployed to Afghanistan in CVR(T), Jackal and without vehicles at all.', ' with soldiers of the Household Cavalry', 'The Household Cavalry as a whole is split into two different units that fulfil very distinct roles. These are both joint units, consisting of personnel from both regiments. Like other Cavalry formations, the Household Cavalry is divided into ', '-sized sub-units). The whole corps is under the command of the Commander Household Cavalry (formerly Lieutenant-Colonel Commanding Household Cavalry), who also holds the ', "", which has seen them at the forefront of the nation's conflicts. The regiment forms one of five formation reconnaissance regiments in the British Army's order of battle. The HCR has four operational squadrons, three of which are traditional medium reconnaissance squadrons equipped with the combat vehicle reconnaissance (tracked) or "", ' range of vehicles (Scimitar, Spartan, Sultan, Samson and Samaritan) and the fourth is referred to as Command and Support Squadron and includes specialists, such as ', "". One of HCR's squadrons is assigned to the "", ' as of 2003. The Regiment was formerly based at ', "", Wiltshire, in May 2019. The men of the Household Division have sometimes been required to undertake special tasks as the Sovereign's personal troops. The Household Cavalry were called to Windsor Castle on 20 November 1992 to assist with salvage operations following the "", ' (HCMR) is horsed and carries out mounted (and some dismounted) ceremonial duties on State and Royal occasions. These include the provision of a ', ""'s Escort, most commonly seen on The Queen's Birthday Parade ("", 'Trooping the Colour', ') in June each year. Other occasions include state visits by visiting heads of state, or whenever required by the ', '. The regiment also mounts the ', '. HCMR consists of one squadron from The Life Guards, one from The Blues and Royals and a squadron called Headquarters Squadron, which is responsible for all administrative matters and includes the regimental headquarters (RHQ), the Riding Staff, Farriers, Tailors and Saddlers. The Regiment has been based (in various forms) at ', 'New troopers and officers are generally first assigned to London upon completion of horsemanship training and remain there for up to three years. Like the five Foot Guards regiments they rotate between the operational unit and ceremonial duties.', 'Second Lieutenants in The Blues and Royals are known as ', ' in the Household Cavalry are unique in the British Army:\n', ""† The Household Cavalry's NCOs and warrant officers are the only soldiers in the British Army who do not wear rank insignia on their full dress uniforms (although officers do). Rank is indicated by the wearing of "", '‡ A Lance Corporal of Horse is technically an appointment rather than a rank. Any new corporal in the Household Cavalry is immediately appointed a Lance Corporal of Horse (LCoH) on attaining the rank of corporal.\n', 'Recruits were required to have a very high moral character. Before the ', ', recruits were required to be at least 5 feet 10\xa0inches tall, but could not exceed 6 feet 1\xa0inch. They initially enlisted for eight years with the colours and a further four years with the reserve.', '\' skills. They were responsible for hoof trimming and fitting horseshoes to horses. They also dealt with the ""humane dispatch of wounded and sick horses"",', "" accomplished with the large spike on the end of their axes. Then they used the sharp blade of the axe to chop off the deceased animal's hoof, which was marked with its regimental number. This assisted in keeping track of animals killed in action."", 'Although the axes are not used any more, army farriers still carry these axes, with their characteristic blade and spike, at ceremonial events such as ', 'Trooping the Colour', 'In the Blues and Royals, the ', ' dress like their comrades in regimental uniform. The distinctive uniform and equipment of the farriers of the Life Guards—blue tunic, black plume and axe—is a historic reminder of the old British Army of the days of ', ' Every cavalry regiment in the Army, other than the Royal Horse Guards (The Blues), originally wore scarlet for all ranks, except the farriers. Farriers were garbed invariably in sombre blue and bore axes, worn at the side, like the swords of their comrades. When on parade, the troopers drew swords, the Farriers drew axes and carried them at the ""Advance"".', 'Following every parade is a duty horse-box, known as the Veterinary Aid Post, with a specialist emergency team in attendance.', 'The Musical Ride of the Mounted Regiments of the Household Cavalry was first performed at the ', "" in 1882. The two trumpeters sitting on grey horses were historically intended to form a contrast with the darker horses, so that they could be seen on battlefields when relaying officers' commands to the troops. The troops weave around the trumpeters and the celebrated drumhorse, Spartacus."", 'Mounted Band of the Household Cavalry', ' was a merger in 2014 of the 35 piece Band of the Blues and Royals and the 35 piece Band of the Life Guards. They are now one band of 64 musicians but wear the uniform of both The Blues and Royals and The Life Guards. They come under CAMUS, the ', 'In the ', ', the Household Cavalry is always listed first and always parades at the extreme right of the line, save in cases that the guns of the ', ""The two regiments of the Household Cavalry are regarded as the most prestigious in the British Army, due to their role as the monarch's official bodyguard. Historically, this meant regularly being in close proximity to the reigning sovereign. As such, the soldiers, and especially officers, of the Household Cavalry were once drawn exclusively from the "", '. While this is no longer the case, the Household Cavalry still draws many of its officers from the upper classes and ', ', and maintains a close personal connection to the Royal Family; both ', ' were commissioned into the Blues and Royals. On occasions, this has led the Household Cavalry to be accused of ', 'The Household Cavalry is supported by the Household Cavalry Foundation, the regimental charity, which raises funds in aid of five core themes: casualties, veterans, serving soldiers, horses and heritage.', 'A reception at the Household Cavalry Museum, Horse Guards.', 'The Household Cavalry has two museums. The ', "" is located at Horse Guards Parade in central London, where the HCMR mounts the Queen's Life Guard.  The museum is a very popular tourist attraction with digital audio guides in several languages. The museum includes a window into the working stables of the Queen's Life Guard, allowing visitors to watch ongoing care of the horses throughout the day.  Separately, the Household Cavalry Regiment has its own museum at "", "" in Windsor.  A volunteer team organise tours and events and, in particular, administer the regiment's extensive material, documentary and photographic archives.  The museum is open to public groups, by appointment."", ' (Royal Horse Guards The Blues) 1927 film actor', ' (Royal Horse Guards The Blues) footballer', '1960–1964: Colonel the Hon. Julian Berry', ') Squadron, The ', 'Household Cavalry of the United Kingdom', 'Trooping the Colour', '""A day in the life of Colonel Harry Scott""', '""The day the castle burned - Windsor Castle fire""', '""Royal wedding: horses undergo their final preparations for the big day""', '""The Household Cavalry – The Mounted Regiment and its Horses""', ' 14 September 2012 at the ', ', performed at Windsor before the Queen, and broadcast on BBC1 on 11 May 2008. (Spartacus is a veteran of ceremonial and was 20 years old in 2008. Now something of a celebrity, his stable nickname is ""Sparky"".)', '""Changes to the Corps of Army Music""', '""General goes to war on racists in the Guards""', 'Through Fifteen Reigns: A Complete History of the Household Cavalry', ""1st The Queen's Dragoon Guards"", 'Chief of the General Staff', 'Deputy Chief of the General Staff', 'Structure of the British Army', ""1st The Queen's Dragoon Guards"", 'Text is available under the ', ';\nadditional terms may apply.  By using this site, you agree to the ', '. Wikipedia® is a registered trademark of the ']"
